dataset,target,encoder,model,input_features,output_features,fit_encoder_time,score_encoder_time,fit_model_time,score_model_time,test_matthews,train_matthews,test_auc,train_auc,test_brier,train_brier
bridges.version2.arff,TYPE,OneHotEncoder,SGDClassifier,12,133,0.24182307720184326,0.20580606460571288,0.0008968830108642579,0.00013387203216552734,0.4464793852040986,0.9957129822688608,0.6933333333333334,0.9974999999999999,0.26696969696969697,0.002105263157894737
bridges.version2.arff,TYPE,OneHotEncoder,LogisticRegression,12,133,0.24182307720184326,0.20580606460571288,0.0034121274948120117,0.00015625953674316406,0.5428168582764846,1.0,0.9080952380952381,1.0,0.17195360895612258,0.002039949886694934
bridges.version2.arff,TYPE,OneHotEncoder,SVC,12,133,0.24182307720184326,0.20580606460571288,0.01073598861694336,0.0003719806671142578,0.7053254183005293,1.0,0.9279761904761905,1.0,0.11528254524346067,2.065716828877932e-06
bridges.version2.arff,TYPE,OneHotEncoder,KNeighborsClassifier,12,133,0.24182307720184326,0.20580606460571288,0.0006096839904785156,0.0007179021835327148,0.6223858612272956,0.767646611977797,0.8970238095238094,0.957645860312527,0.13935151515151517,0.08424613420992426
bridges.version2.arff,TYPE,OneHotEncoder,GaussianNB,12,133,0.24182307720184326,0.20580606460571288,0.0013635873794555664,0.0007017612457275391,0.30875162642522097,1.0,0.6304761904761904,1.0,0.4290909090909091,0.0
bridges.version2.arff,TYPE,OneHotEncoder,DecisionTreeClassifier,12,133,0.24182307720184326,0.20580606460571288,0.0008905172348022461,0.00012574195861816406,0.6466802445113609,0.8981544340993464,0.8215476190476192,0.9844469049469049,0.1712304593292618,0.03806973594988394
bridges.version2.arff,TYPE,OneHotEncoder,GradientBoostingClassifier,12,133,0.24182307720184326,0.20580606460571288,0.2932095527648926,0.00046031475067138673,0.6705267732963057,1.0,0.9154166666666667,1.0,0.11619353391864436,6.314048708027533e-06
bridges.version2.arff,TYPE,OneHotEncoder,RandomForestClassifier,12,133,0.24182307720184326,0.20580606460571288,0.9177042245864868,0.04848456382751465,0.7394738231258999,1.0,0.9287500000000002,1.0,0.11096276363636362,0.015649528823706484
bridges.version2.arff,TYPE,OneHotEncoder,MLPClassifier,12,133,0.24182307720184326,0.20580606460571288,0.2389357089996338,0.00021357536315917968,0.7057240432686347,1.0,0.9117857142857142,1.0,0.11633920722084981,6.593802299061759e-05
bridges.version2.arff,TYPE,BinaryEncoder,SGDClassifier,12,37,0.15125055313110353,0.10646965503692626,0.0005360841751098633,8.666515350341797e-05,0.6506777602095406,0.7851508191097057,0.7991666666666667,0.8921722999222998,0.17545454545454545,0.10483505162371894
bridges.version2.arff,TYPE,BinaryEncoder,LogisticRegression,12,37,0.15125055313110353,0.10646965503692626,0.0023431301116943358,0.000104522705078125,0.6720987607090724,0.8817532556267469,0.9070833333333335,0.9842496114996117,0.12987681267992693,0.049388378473294844
bridges.version2.arff,TYPE,BinaryEncoder,SVC,12,37,0.15125055313110353,0.10646965503692626,0.0031268835067749024,0.0001690387725830078,0.702929859657222,0.9699261443853298,0.9238095238095239,0.9995410947077612,0.13510911311100973,0.043261650221880645
