STAFF_ID;HOME_INSTITUTION_ID;HOME_INSTITUTION_CTRY_CD;ENTERPRISE_NAME;ENTERPRISE_SIZE_VALUE;ENTERPRISE_TYPE_CD;ENTERPRISE_CTRY_CD;TEACHER_GENDER_CD;TEACHER_NATIONALITY_CD;TEACHER_TEACHING_AREA_CD;TEACHER_SENIORITY_CD;HOST_INSTITUTION_CODE;HOST_INSTITUTION_CTRY_CD;HOST_SUBJECT_AREA_CD;TEACHER_LENGTH_DAYS_VALUE;TEACHER_LENGHT_HRS_VALUE;TEACHER_VISIT_START_DATE;TEACHING_LEVEL_CD;TEACHING_LANGUAGE_CD;TEACHER_SPECIAL_NEEDS_GRT_AMT;TEACHER_SUBSISTANCE_GRT_AMT;TEACHER_TRAVEL_COST_AMT;TEACHER_TOTAL_GRT_AMT;TEACHER_FIRST_VISIT_FLAG;ENTERPRISE_WORK_CAT_CD
GR12314390036;G  THESSAL12;GR; ? Unknown ?;?;???;???;M;GR;621;J;UK CHELMSF03;UK;621;5;5;Sep-13;1;EN;0;805;469;1274;N;?
GR12314390037;G  THESSAL12;GR; ? Unknown ?;?;???;???;M;GR;34;S;UK CHELMSF03;UK;34;5;5;Sep-13;1;EN;0;805;469;1274;N;?
GR123715030001;G  AGRINIO01;GR; ? Unknown ?;?;???;???;F;GR;422;S;TR ISTANBU04;TR;422;7;5;Mar-13;M;EN;0;686;231.21;917.21;Y;?
GR123715030002;G  AGRINIO01;GR; ? Unknown ?;?;???;???;M;GR;422;I;TR ISTANBU04;TR;422;7;5;Mar-13;M;EN;0;686;249.91;935.91;Y;?
GR122587580003;G  THESSAL15;GR; ? Unknown ?;?;???;???;M;GR;220;S;RO IASI02;RO;48;3;5;Apr-13;S;EN;0;252;385.24;637.24;Y;?
GR122587580007;G  THESSAL15;GR; ? Unknown ?;?;???;???;M;GR;221;S;UK XX;UK;221;12;12;Jun-13;3;EN;0;1449.14;202.18;1651.32;Y;?
GR122219470001;G  KOZANI02;GR; ? Unknown ?;?;???;???;M;GR;313;I;BG SOFIA06;BG;225;7;8;Oct-12;M;BG;0;539;250;789;N;?
GR122219470002;G  KOZANI02;GR; ? Unknown ?;?;???;???;F;GR;222;I;NL GRONING01;NL;222;6;5;Nov-12;M;EN;0;756;482.32;1238.32;N;?
GR122219470005;G  KOZANI02;GR; ? Unknown ?;?;???;???;M;GR;312;I;CY LIMASSO02;CY;312;5;5;Apr-13;M;EN;0;525;221.07;746.07;N;?
GR122219470006;G  KOZANI02;GR; ? Unknown ?;?;???;???;M;GR;222;J;RO ARAD02;RO;222;5;5;Apr-13;M;RO;0;420;100;520;Y;?
GR122219470007;G  KOZANI02;GR; ? Unknown ?;?;???;???;M;GR;421;I;E  PAMPLON02;ES;380;5;8;May-13;M;EN;0;595;340.2;935.2;N;?
GR122238490001;G  TRIPOLI03;GR; ? Unknown ?;?;???;???;F;GR;723;J;CZ LIBEREC01;CZ;723;5;5;Nov-12;1;EN;0;525;292.32;817.32;Y;?
GR122238490002;G  TRIPOLI03;GR; ? Unknown ?;?;???;???;F;GR;723;I;CY LIMASSO02;CY;723;5;6;Oct-12;M;EL;0;525;192;717;Y;?
12;-1;LT;Linda Turner, BA. MSc;S;S;CZ;F;CZ;38;I;LT VILNIUS10;LT;38;5;5;Nov-12;1;EN;0;0;0;0;Y;R
-1;LT VILNIUS10;LT; ? Unknown ?;?;???;???;M;LT;21;S;SF HELSINK41;FI;21;5;5;Apr-13;1;EN;0;639.33;211.1;850.39;N;?
-1;LT VILNIUS10;LT; ? Unknown ?;?;???;???;M;LT;314;J;E  PAMPLON01;ES;314;3;5;Oct-12;1;EN;0;164.21;665.8;830.05;N;?
13;-1;LT;Orbitus Consulting Limited;S;S;UK;M;UK;34;S;LT VILNIUS10;LT;34;8;5;Nov-12;1;EN;0;0;143.4;143.42;N;M
14;-1;LT;Orbitus Consulting Limited;S;S;UK;F;UK;34;I;LT VILNIUS10;LT;34;8;5;Nov-12;1;EN;0;0;143.4;143.42;Y;R
